"homeownership","income","percentage"
"renter","$40000 to $49999","0.51568027822749895065"
"renter","$40000 to $49999","0.50797077240682205604"
"renter","$40000 to $49999","0.82663034632813369996"
"renter","$40000 to $49999","0.60648112455991570940"
"renter","$40000 to $49999","0.54823152502591250568"
"renter","$40000 to $49999","0.28096865657578015916"
"renter","$40000 to $49999","0.20044715133759925989"
"renter","$50000 to $59999","0.30838023282707578444"
"renter","$50000 to $59999","0.42916249068434713335"
"renter","$50000 to $59999","0.43001910244220012164"
"renter","$50000 to $59999","0.69899519440803844474"
"renter","$50000 to $59999","0.49426498428117424340"
"renter","$50000 to $59999","0.40346413794875748465"
"renter","$50000 to $59999","0.18417152793839248238"
"renter","$50000 to $59999","0.11821242258371238404"
"renter","$60000 to $79999","0.40346413794875748465"
"renter","$60000 to $79999","0.74011255878498188266"
"renter","$60000 to $79999","0.71013114726012729251"
"renter","$60000 to $79999","1.2086791903305665"
"renter","$60000 to $79999","0.82834356984383967654"
"renter","$60000 to $79999","0.58934888940285594360"
"renter","$60000 to $79999","0.28268188009148613574"
"renter","$60000 to $79999","0.15504672817139088051"
"renter","$80000 to $99999","0.18502813969624547067"
"renter","$80000 to $99999","0.44715133759925988744"
"renter","$80000 to $99999","0.56536376018297227148"
"renter","$80000 to $99999","0.68443279452453764380"
"renter","$80000 to $99999","0.53195590162670572816"
"renter","$80000 to $99999","0.33921825610978336289"
"renter","$80000 to $99999","0.13106159895150720839"
"renter","$80000 to $99999","0.06253265832326814518"
"renter","$100000 to $119999","0.01627562339920677751"
"renter","$100000 to $119999","0.23471162165171879149"
"renter","$100000 to $119999","0.36063355005610807014"
"renter","$100000 to $119999","0.44886456111496586402"
"renter","$100000 to $119999","0.32808230325769451511"
"renter","$100000 to $119999","0.23642484516742476807"
"renter","$100000 to $119999","0.07966489348032791098"
"renter","$100000 to $119999","0.03769091734553148477"
"renter","$120000 to $139999","0.06681571711253308663"
"renter","$120000 to $139999","0.20216037485330523647"
"renter","$120000 to $139999","0.21929261001036500227"
"renter","$120000 to $139999","0.37605256169746185936"
"renter","$120000 to $139999","0.25612691559804349875"
"renter","$120000 to $139999","0.13191821070936019668"
"renter","$120000 to $139999","0.04882687019762033254"
"renter","$120000 to $139999","0.03426447031411953160"
"renter","$140000 to $159999","0.77352041734124842598"
"renter","$140000 to $159999","0.04540042316620837938"
"renter","$140000 to $159999","0.10878969324732951284"
"renter","$140000 to $159999","0.12249548137297732549"
"renter","$140000 to $159999","0.19959053957974627160"
"renter","$140000 to $159999","0.14648061059286099761"
"renter","$140000 to $159999","0.07966489348032791098"
"renter","$140000 to $159999","0.05567976426044423886"
"renter","$160000 to $179999","0.02398512921988367212"
"renter","$160000 to $179999","0.07623844644891595782"
"renter","$160000 to $179999","0.10793308148947652455"
"renter","$160000 to $179999","0.10964630500518250114"
"renter","$160000 to $179999","0.08223472875388687585"
"renter","$160000 to $179999","0.03854752910338447306"
"renter","$160000 to $179999","0.04797025843976734425"
"renter","$160000 to $179999","0.03683430558767849648"
"renter","$180000 to $199999","0.33921825610978336289"
"renter","$180000 to $199999","0.000000000000000000000000"
"renter","$180000 to $199999","0.05225331722903228570"
"renter","$180000 to $199999","0.08480456402744584072"
"renter","$180000 to $199999","0.08737439930100480559"
"renter","$180000 to $199999","0.05996282304970918031"
"renter","$180000 to $199999","0.03683430558767849648"
"renter","$180000 to $199999","0.05396654074473826228"
"renter","$200000 or more","0.04797025843976734425"
"renter","$200000 or more","0.16104301047636179854"
"renter","$200000 or more","0.22614550407318890859"
"renter","$200000 or more","0.28867816239645705377"
"renter","$200000 or more","0.28268188009148613574"
"renter","$200000 or more","0.13448804598291916155"
"renter","$200000 or more","0.03169463504056056673"
"renter","$200000 or more","0.000000000000000000000000"
