homeownership,income,age,total,year
renter,$100000 to $119999,45 to 54 years old,364,2019
renter,$100000 to $119999,55 to 64 years old,269,2019
renter,$100000 to $119999,65 to 74 years old,46,2019
renter,$100000 to $119999,75 years old and over,39,2019
renter,$120000 or more,Under 25 years old,210,2019
renter,$120000 or more,25 to 29 years old,627,2019
renter,$120000 or more,30 to 34 years old,742,2019
renter,$120000 or more,35 to 44 years old,1175,2019
renter,$120000 or more,45 to 54 years old,912,2019
renter,$120000 or more,55 to 64 years old,517,2019
renter,$120000 or more,65 to 74 years old,185,2019
renter,$120000 or more,75 years old and over,69,2019
renter,Less than $10000,Under 25 years old,585,2021
renter,Less than $10000,25 to 29 years old,499,2021
renter,Less than $10000,30 to 34 years old,455,2021
renter,Less than $10000,35 to 44 years old,759,2021
renter,Less than $10000,45 to 54 years old,791,2021
renter,Less than $10000,55 to 64 years old,1241,2021
renter,Less than $10000,65 to 74 years old,828,2021
renter,Less than $10000,75 years old and over,730,2021
renter,$10000 to $19999,Under 25 years old,338,2021
renter,$10000 to $19999,25 to 29 years old,395,2021
renter,$10000 to $19999,30 to 34 years old,427,2021
renter,$10000 to $19999,35 to 44 years old,782,2021
renter,$10000 to $19999,45 to 54 years old,670,2021
renter,$10000 to $19999,55 to 64 years old,1050,2021
renter,$10000 to $19999,65 to 74 years old,1093,2021
renter,$10000 to $19999,75 years old and over,909,2021
renter,$20000 to $29999,Under 25 years old,562,2021
renter,$20000 to $29999,25 to 29 years old,486,2021
renter,$20000 to $29999,30 to 34 years old,571,2021
renter,$20000 to $29999,35 to 44 years old,946,2021
renter,$20000 to $29999,45 to 54 years old,744,2021
renter,$20000 to $29999,55 to 64 years old,815,2021
renter,$20000 to $29999,65 to 74 years old,595,2021
renter,$20000 to $29999,75 years old and over,591,2021
renter,$30000 to $39999,Under 25 years old,399,2021
renter,$30000 to $39999,25 to 29 years old,662,2021
renter,$30000 to $39999,30 to 34 years old,643,2021
renter,$30000 to $39999,35 to 44 years old,1018,2021
renter,$30000 to $39999,45 to 54 years old,830,2021
renter,$30000 to $39999,55 to 64 years old,563,2021
renter,$30000 to $39999,65 to 74 years old,538,2021
renter,$30000 to $39999,75 years old and over,331,2021
renter,$40000 to $49999,Under 25 years old,404,2021
renter,$40000 to $49999,25 to 29 years old,602,2021
renter,$40000 to $49999,30 to 34 years old,593,2021
renter,$40000 to $49999,35 to 44 years old,965,2021
renter,$40000 to $49999,45 to 54 years old,708,2021
renter,$40000 to $49999,55 to 64 years old,640,2021
renter,$40000 to $49999,65 to 74 years old,328,2021
renter,$40000 to $49999,75 years old and over,234,2021
renter,$50000 to $59999,Under 25 years old,360,2021
renter,$50000 to $59999,25 to 29 years old,501,2021
renter,$50000 to $59999,30 to 34 years old,502,2021
renter,$50000 to $59999,35 to 44 years old,816,2021
renter,$50000 to $59999,45 to 54 years old,577,2021
renter,$50000 to $59999,55 to 64 years old,471,2021
renter,$50000 to $59999,65 to 74 years old,215,2021
renter,$50000 to $59999,75 years old and over,138,2021
renter,$60000 to $79999,Under 25 years old,471,2021
renter,$60000 to $79999,25 to 29 years old,864,2021
renter,$60000 to $79999,30 to 34 years old,829,2021
renter,$60000 to $79999,35 to 44 years old,1411,2021
renter,$60000 to $79999,45 to 54 years old,967,2021
renter,$60000 to $79999,55 to 64 years old,688,2021
renter,$60000 to $79999,65 to 74 years old,330,2021
renter,$60000 to $79999,75 years old and over,181,2021
renter,$80000 to $99999,Under 25 years old,216,2021
renter,$80000 to $99999,25 to 29 years old,522,2021
renter,$80000 to $99999,30 to 34 years old,660,2021
renter,$80000 to $99999,35 to 44 years old,799,2021
renter,$80000 to $99999,45 to 54 years old,621,2021
renter,$80000 to $99999,55 to 64 years old,396,2021
renter,$80000 to $99999,65 to 74 years old,153,2021
renter,$80000 to $99999,75 years old and over,73,2021
renter,$100000 to $119999,Under 25 years old,19,2021
renter,$100000 to $119999,25 to 29 years old,274,2021
renter,$100000 to $119999,30 to 34 years old,421,2021
renter,$100000 to $119999,35 to 44 years old,524,2021
renter,$100000 to $119999,45 to 54 years old,383,2021
renter,$100000 to $119999,55 to 64 years old,276,2021
renter,$100000 to $119999,65 to 74 years old,93,2021
renter,$100000 to $119999,75 years old and over,44,2021
renter,$120000 to $139999,Under 25 years old,78,2021
renter,$120000 to $139999,25 to 29 years old,236,2021
renter,$120000 to $139999,30 to 34 years old,256,2021
renter,$120000 to $139999,35 to 44 years old,439,2021
renter,$120000 to $139999,45 to 54 years old,299,2021
renter,$120000 to $139999,55 to 64 years old,154,2021
renter,$120000 to $139999,65 to 74 years old,57,2021
renter,$120000 to $139999,75 years old and over,40,2021
renter,$140000 to $159999,Under 25 years old,903,2021
renter,$140000 to $159999,25 to 29 years old,53,2021
