homeownership,income,age,amount,year
renter,$120000 or more,30 to 34 years old,366,2013
renter,$120000 or more,35 to 44 years old,506,2013
renter,$120000 or more,45 to 54 years old,375,2013
renter,$120000 or more,55 to 64 years old,230,2013
renter,$120000 or more,65 to 74 years old,75,2013
renter,$120000 or more,75 years old and over,26,2013
owner,Less than $10000,Under 25 years old,44,2015
owner,Less than $10000,25 to 29 years old,75,2015
owner,Less than $10000,30 to 34 years old,86,2015
owner,Less than $10000,35 to 44 years old,320,2015
owner,Less than $10000,45 to 54 years old,631,2015
owner,Less than $10000,55 to 64 years old,1031,2015
owner,Less than $10000,65 to 74 years old,924,2015
owner,Less than $10000,75 years old and over,1024,2015
owner,$10000 to $19999,Under 25 years old,39,2015
owner,$10000 to $19999,25 to 29 years old,100,2015
owner,$10000 to $19999,30 to 34 years old,108,2015
owner,$10000 to $19999,35 to 44 years old,272,2015
owner,$10000 to $19999,45 to 54 years old,562,2015
owner,$10000 to $19999,55 to 64 years old,1033,2015
owner,$10000 to $19999,65 to 74 years old,1356,2015
owner,$10000 to $19999,75 years old and over,1722,2015
owner,$20000 to $29999,Under 25 years old,74,2015
owner,$20000 to $29999,25 to 29 years old,151,2015
owner,$20000 to $29999,30 to 34 years old,205,2015
owner,$20000 to $29999,35 to 44 years old,524,2015
owner,$20000 to $29999,45 to 54 years old,806,2015
owner,$20000 to $29999,55 to 64 years old,1352,2015
owner,$20000 to $29999,65 to 74 years old,1466,2015
owner,$20000 to $29999,75 years old and over,1604,2015
owner,$30000 to $39999,Under 25 years old,65,2015
owner,$30000 to $39999,25 to 29 years old,160,2015
owner,$30000 to $39999,30 to 34 years old,275,2015
owner,$30000 to $39999,35 to 44 years old,707,2015
owner,$30000 to $39999,45 to 54 years old,954,2015
owner,$30000 to $39999,55 to 64 years old,1383,2015
owner,$30000 to $39999,65 to 74 years old,1544,2015
owner,$30000 to $39999,75 years old and over,1137,2015
owner,$40000 to $49999,Under 25 years old,115,2015
owner,$40000 to $49999,25 to 29 years old,191,2015
owner,$40000 to $49999,30 to 34 years old,290,2015
owner,$40000 to $49999,35 to 44 years old,828,2015
owner,$40000 to $49999,45 to 54 years old,1107,2015
owner,$40000 to $49999,55 to 64 years old,1480,2015
owner,$40000 to $49999,65 to 74 years old,1316,2015
owner,$40000 to $49999,75 years old and over,868,2015
owner,$50000 to $59999,Under 25 years old,53,2015
owner,$50000 to $59999,25 to 29 years old,223,2015
owner,$50000 to $59999,30 to 34 years old,334,2015
owner,$50000 to $59999,35 to 44 years old,859,2015
owner,$50000 to $59999,45 to 54 years old,1104,2015
owner,$50000 to $59999,55 to 64 years old,1327,2015
owner,$50000 to $59999,65 to 74 years old,1128,2015
owner,$50000 to $59999,75 years old and over,656,2015
owner,$60000 to $79999,Under 25 years old,82,2015
owner,$60000 to $79999,25 to 29 years old,373,2015
owner,$60000 to $79999,30 to 34 years old,751,2015
owner,$60000 to $79999,35 to 44 years old,1638,2015
owner,$60000 to $79999,45 to 54 years old,2187,2015
owner,$60000 to $79999,55 to 64 years old,2555,2015
owner,$60000 to $79999,65 to 74 years old,1807,2015
owner,$60000 to $79999,75 years old and over,879,2015
owner,$80000 to $99999,Under 25 years old,38,2015
owner,$80000 to $99999,25 to 29 years old,314,2015
owner,$80000 to $99999,30 to 34 years old,674,2015
owner,$80000 to $99999,35 to 44 years old,1562,2015
owner,$80000 to $99999,45 to 54 years old,2029,2015
owner,$80000 to $99999,55 to 64 years old,1922,2015
owner,$80000 to $99999,65 to 74 years old,1016,2015
owner,$80000 to $99999,75 years old and over,447,2015
owner,$100000 to $119999,Under 25 years old,201,2015
owner,$100000 to $119999,25 to 29 years old,214,2015
owner,$100000 to $119999,30 to 34 years old,537,2015
owner,$100000 to $119999,35 to 44 years old,1319,2015
owner,$100000 to $119999,45 to 54 years old,1591,2015
owner,$100000 to $119999,55 to 64 years old,1717,2015
owner,$100000 to $119999,65 to 74 years old,709,2015
owner,$100000 to $119999,75 years old and over,252,2015
renter,Less than $10000,Under 25 years old,835,2015
renter,Less than $10000,25 to 29 years old,678,2015
renter,Less than $10000,30 to 34 years old,631,2015
renter,Less than $10000,35 to 44 years old,940,2015
renter,Less than $10000,45 to 54 years old,974,2015
renter,Less than $10000,55 to 64 years old,1174,2015
renter,Less than $10000,65 to 74 years old,712,2015
renter,Less than $10000,75 years old and over,659,2015
renter,$10000 to $19999,Under 25 years old,694,2015
renter,$10000 to $19999,25 to 29 years old,594,2015
renter,$10000 to $19999,30 to 34 years old,658,2015
renter,$10000 to $19999,35 to 44 years old,1121,2015
renter,$10000 to $19999,45 to 54 years old,1004,2015
renter,$10000 to $19999,55 to 64 years old,1103,2015
renter,$10000 to $19999,65 to 74 years old,905,2015
renter,$10000 to $19999,75 years old and over,974,2015
renter,$20000 to $29999,Under 25 years old,648,2015
renter,$20000 to $29999,25 to 29 years old,776,2015
renter,$20000 to $29999,30 to 34 years old,727,2015
renter,$20000 to $29999,35 to 44 years old,1130,2015
renter,$20000 to $29999,45 to 54 years old,1079,2015
renter,$20000 to $29999,55 to 64 years old,835,2015
renter,$20000 to $29999,65 to 74 years old,522,2015
renter,$20000 to $29999,75 years old and over,497,2015
renter,$30000 to $39999,Under 25 years old,485,2015
renter,$30000 to $39999,25 to 29 years old,764,2015
renter,$30000 to $39999,30 to 34 years old,796,2015
renter,$30000 to $39999,35 to 44 years old,1113,2015
renter,$30000 to $39999,45 to 54 years old,934,2015
renter,$30000 to $39999,55 to 64 years old,664,2015
renter,$30000 to $39999,65 to 74 years old,397,2015
renter,$30000 to $39999,75 years old and over,261,2015
renter,$40000 to $49999,Under 25 years old,296,2015
renter,$40000 to $49999,25 to 29 years old,642,2015
renter,$40000 to $49999,30 to 34 years old,620,2015
renter,$40000 to $49999,35 to 44 years old,992,2015
renter,$40000 to $49999,45 to 54 years old,684,2015
renter,$40000 to $49999,55 to 64 years old,476,2015
renter,$40000 to $49999,65 to 74 years old,202,2015
renter,$40000 to $49999,75 years old and over,155,2015
renter,$50000 to $59999,Under 25 years old,239,2015
renter,$50000 to $59999,25 to 29 years old,516,2015
renter,$50000 to $59999,30 to 34 years old,456,2015
renter,$50000 to $59999,35 to 44 years old,741,2015
renter,$50000 to $59999,45 to 54 years old,589,2015
renter,$50000 to $59999,55 to 64 years old,392,2015
renter,$50000 to $59999,65 to 74 years old,187,2015
renter,$50000 to $59999,75 years old and over,105,2015
renter,$60000 to $79999,Under 25 years old,246,2015
renter,$60000 to $79999,25 to 29 years old,787,2015
renter,$60000 to $79999,30 to 34 years old,742,2015
renter,$60000 to $79999,35 to 44 years old,1050,2015
renter,$60000 to $79999,45 to 54 years old,879,2015
renter,$60000 to $79999,55 to 64 years old,559,2015
renter,$60000 to $79999,65 to 74 years old,201,2015
renter,$60000 to $79999,75 years old and over,93,2015
renter,$80000 to $99999,Under 25 years old,121,2015
renter,$80000 to $99999,25 to 29 years old,331,2015
renter,$80000 to $99999,30 to 34 years old,492,2015
renter,$80000 to $99999,35 to 44 years old,649,2015
renter,$80000 to $99999,45 to 54 years old,496,2015
renter,$80000 to $99999,55 to 64 years old,325,2015
renter,$80000 to $99999,65 to 74 years old,124,2015
renter,$80000 to $99999,75 years old and over,49,2015
renter,$100000 to $119999,Under 25 years old,93,2015
renter,$100000 to $119999,25 to 29 years old,221,2015
renter,$100000 to $119999,30 to 34 years old,285,2015
renter,$100000 to $119999,35 to 44 years old,414,2015
renter,$100000 to $119999,45 to 54 years old,340,2015
renter,$100000 to $119999,55 to 64 years old,175,2015
renter,$100000 to $119999,65 to 74 years old,57,2015
renter,$100000 to $119999,75 years old and over,42,2015
renter,$120000 or more,Under 25 years old,70,2015
renter,$120000 or more,25 to 29 years old,424,2015
renter,$120000 or more,30 to 34 years old,461,2015
renter,$120000 or more,35 to 44 years old,647,2015
renter,$120000 or more,45 to 54 years old,622,2015
renter,$120000 or more,55 to 64 years old,301,2015
renter,$120000 or more,65 to 74 years old,89,2015
renter,$120000 or more,75 years old and over,33,2015
owner,Less than $10000,Under 25 years old,44,2017
owner,Less than $10000,25 to 29 years old,61,2017
owner,Less than $10000,30 to 34 years old,73,2017
owner,Less than $10000,35 to 44 years old,336,2017
owner,Less than $10000,45 to 54 years old,617,2017
owner,Less than $10000,55 to 64 years old,997,2017
owner,Less than $10000,65 to 74 years old,1050,2017
owner,Less than $10000,75 years old and over,1134,2017
owner,$10000 to $19999,Under 25 years old,47,2017
owner,$10000 to $19999,25 to 29 years old,34,2017
owner,$10000 to $19999,30 to 34 years old,107,2017
owner,$10000 to $19999,35 to 44 years old,236,2017
owner,$10000 to $19999,45 to 54 years old,448,2017
owner,$10000 to $19999,55 to 64 years old,1051,2017
owner,$10000 to $19999,65 to 74 years old,1430,2017
owner,$10000 to $19999,75 years old and over,1596,2017
owner,$20000 to $29999,Under 25 years old,57,2017
owner,$20000 to $29999,25 to 29 years old,125,2017
owner,$20000 to $29999,30 to 34 years old,188,2017
owner,$20000 to $29999,35 to 44 years old,376,2017
owner,$20000 to $29999,45 to 54 years old,754,2017
owner,$20000 to $29999,55 to 64 years old,1212,2017
owner,$20000 to $29999,65 to 74 years old,1612,2017
owner,$20000 to $29999,75 years old and over,1669,2017
owner,$30000 to $39999,Under 25 years old,0,2017
owner,$30000 to $39999,25 to 29 years old,0,2017
owner,$30000 to $39999,30 to 34 years old,0,2017
owner,$30000 to $39999,35 to 44 years old,59,2017
owner,$30000 to $39999,45 to 54 years old,143,2017
owner,$30000 to $39999,55 to 64 years old,277,2017
owner,$30000 to $39999,65 to 74 years old,617,2017
owner,$30000 to $39999,75 years old and over,866,2017
owner,$40000 to $49999,Under 25 years old,91,2017
owner,$40000 to $49999,25 to 29 years old,206,2017
owner,$40000 to $49999,30 to 34 years old,236,2017
owner,$40000 to $49999,35 to 44 years old,677,2017
owner,$40000 to $49999,45 to 54 years old,910,2017
owner,$40000 to $49999,55 to 64 years old,1421,2017
owner,$40000 to $49999,65 to 74 years old,1498,2017
owner,$40000 to $49999,75 years old and over,942,2017
owner,$50000 to $59999,Under 25 years old,78,2017
owner,$50000 to $59999,25 to 29 years old,199,2017
owner,$50000 to $59999,30 to 34 years old,255,2017
owner,$50000 to $59999,35 to 44 years old,819,2017
owner,$50000 to $59999,45 to 54 years old,1070,2017
owner,$50000 to $59999,55 to 64 years old,1378,2017
owner,$50000 to $59999,65 to 74 years old,1069,2017
owner,$50000 to $59999,75 years old and over,720,2017
owner,$60000 to $79999,Under 25 years old,79,2017
owner,$60000 to $79999,25 to 29 years old,525,2017
owner,$60000 to $79999,30 to 34 years old,714,2017
owner,$60000 to $79999,35 to 44 years old,1597,2017
owner,$60000 to $79999,45 to 54 years old,2173,2017
owner,$60000 to $79999,55 to 64 years old,2458,2017
owner,$60000 to $79999,65 to 74 years old,1854,2017
owner,$60000 to $79999,75 years old and over,999,2017
owner,$80000 to $99999,Under 25 years old,41,2017
owner,$80000 to $99999,25 to 29 years old,320,2017
owner,$80000 to $99999,30 to 34 years old,679,2017
owner,$80000 to $99999,35 to 44 years old,1640,2017
owner,$80000 to $99999,45 to 54 years old,1775,2017
owner,$80000 to $99999,55 to 64 years old,2081,2017
owner,$80000 to $99999,65 to 74 years old,1261,2017
owner,$80000 to $99999,75 years old and over,568,2017
owner,$100000 to $119999,Under 25 years old,176,2017
owner,$100000 to $119999,25 to 29 years old,246,2017
owner,$100000 to $119999,30 to 34 years old,566,2017
owner,$100000 to $119999,35 to 44 years old,1473,2017
owner,$100000 to $119999,45 to 54 years old,1721,2017
owner,$100000 to $119999,55 to 64 years old,1713,2017
owner,$100000 to $119999,65 to 74 years old,896,2017
owner,$100000 to $119999,75 years old and over,251,2017
owner,$120000 or more,Under 25 years old,54,2017
owner,$120000 or more,25 to 29 years old,452,2017
